language,model,joke,reward
en,base,Why did Ryanair put its seat-cutting machine in Spain? Because it wanted to西班牙减座机器需要电量，哈哈！（因为西班牙的减座机器需要插电，哈哈哈！）,6.0
en,base,Why did the 17th-century painting run from the Nazis? Because it heard they were looking for someone to frame!,8.0
en,base,Why did the childcare center refuse to install an escalator? Because they don't want to speed up the process of getting kids ready for school!,8.0
en,base,Why did the expert on body wipes refuse to shake hands? Because he preferred to use them... for other things!,8.0
en,base,Why did Meghan Markle need a separate room for her Netflix series? Because she heard Taylor Swift had to quarantine her Exs-cape from Texas!,8.0
en,base,Why did the college dog go to school? To get a paw-site for its anxiety!,6.0
en,base,Why did the Taipei City Council member refuse to shake hands with the Chinese-made patrol robot? Because it reminded him of doing business in the dog house!,8.0
en,base,"Why did the meteorologist refuse to go on a boat? Because he heard the forecast for the sailboat was a ""severe storm barrels"" heading his way!",8.0
en,base,Why did the nonalcoholic beer attend the party? To keep an eye on the mocktails and make sure they didn't get too lively—because some people just can't handle being sober!,8.0
en,base,Why did the cranberry bog decide to become a wetland? To avoid being juiced up and used in too many Thanksgiving recipes!,8.0
en,base,Why did Jelena Ostapenko and Taylor Townsend refuse to shake hands after their match? Because they got into a heated debate about who gets to serve the coffee at their future tennis café!,8.0
en,base,"Why did the microplastic particle refuse to go to the gym? Because it already had a 68,000 daily limit!",8.0
en,base,Why did the astronaut bring 10 test flights to the party? Because his mock Starlink satellites were out of orbit!,6.0
en,base,"Why did Amaya block Bryan on social media? Because every time he tried to message her, it was like trying to send a love letter through a black hole!",8.0
en,base,Why did the man install solar panels at triple the price? Because the salesman promised he'd never have to worry about the power company again... and now he's warning everyone to check if the guy selling you a house is also selling you door hinges!,8.0
en,base,"Why did Arthur Ashe Stadium refuse to play tennis at night? Because it didn't want to serve matches in the dark! (Note: This is a play on Arthur Ashe's famous tennis tournament, the US Open, and his legacy, not a reflection on his actual stadium or the event.)",8.0
en,base,Why did Carley Fortune's characters refuse to cross the road? Because they heard her 5th novel was a blockbuster Canadian romance—and they weren't sure if they wanted to get Fortune'd again!,8.0
en,base,Why did the neural network go to the gym? To increase its weights by 56% and prove that the AI boom isn't just a passing trend!,8.0
en,base,Why did the AI designer break up with the furniture? Because it was too predictable and lacked the algorithmic complexity!,8.0
en,base,Why did the Italian apple refuse to go down the mountain? Because it heard the cable car was serving slices and sauce!,6.0
en,base,"Why did Denzel Washington cross the road? To avoid all the fake fights, since he doesn't watch movies anymore!",8.0
en,base,Why did the new student bring a ladder to school on the first day? Because the classroom was located in the clouds!,6.0
en,base,"Why did Carlos Alcaraz bring a ladder to the tennis match? Because he heard Novak Djokovic was reaching for his ""demons of last year""!",8.0
en,base,"Why did the Asian hornet get so much attention? Because it's the bee-liner in town, and everyone's buzzing about it!",6.0
en,base,"Why did the kangaroo cross the road? To get to the iconic photo spot and pose so naturally, it seemed like it had done it a million times before!",10.0
en,base,Why did the river decide to build a barrage in Pakistan? To finally get off its high horse and not cause any more floods in the towns below!,8.0
en,base,Why did the British artist refuse to sell to customers across the pond? Because he heard his paintings would have to pay customs duties and that would rock his revenue boat!,8.0
en,base,Why did the haboob refuse to vote in the next day's election? Because it was too busy disrupting the counting of the sand!,6.0
en,base,Why did the Indian betting app decide to close its office? Because it ran out of luck and hit a wall!,8.0
en,base,"Why did the egusi melon seed go to space? To find its卡尔，这里是一个与给定标题相关的有趣笑话：

为什么这个非洲葫芦种子要去太空？因为它听说在太空中也能找到它的“瓜”（瓜子）朋友！",6.0
en,base,"Why did the man remove his mustache hair? To grow a forest, of course... but just a small, hairy one!",8.0
en,base,Why did Coach Hugo Broos need a separate squad for the World Cup qualifiers? Because the regular squad couldn't fit in his wallet!,8.0
en,base,Why did the third-grader need a resume? He was applying for his first pot farm!,6.0
en,base,Why did Venus Williams's tennis racket need a fuzzy case? Because even Venus couldn't always keep it in line without some extra padding!,8.0
en,base,Why did the British rock band refuse to conquer America? Because they heard Chicago was sold out!,8.0
en,base,"Why did the chatbot go to therapy? Because it had a knack for using vague, value-added language in every sentence!",8.0
