id	word1	word2	headline	text
en_2001	-	-	Panamanian lawmakers’ Taiwan trip sparks diplomatic row with China	"Sure, here's a joke based on that headline:

""The Panamanian lawmakers thought they were just going on a diplomatic vacation, but little did they know, they sparked a full-blown Taiwan-China diplomatic row—just their lucky day!"""
en_2002	-	-	Carra: Liverpool must sign in January - even after summer spending spree	"Carra's advice to Liverpool: ""Even after all those summer purchases, don't skip the January sale—there are still some quality players left!"""
en_2003	-	-	Experts warn of health threat posed by ultra-processed foods	Why did the expert cross the road? To warn people about the sneaky health threats from those ultra-processed snacks lurking on the other side!
en_2004	-	-	Dick Cheney funeral: George W. Bush delivers eulogy	"At the recent funeral for Dick Cheney, George W. Bush gave a heartfelt eulogy. When asked how it went, Cheney's ghost replied, ""He could have been a lot more tactful—did you hear about his latest book where he calls me 'a one-term president'?"""
en_2005	-	-	No place for Mostert distraction in South Africa team	"Sure, here's a joke based on that headline:

The South African cricket team tried to include Mostert in their lineup, but he kept getting sidetracked with his social media posts. They finally decided, ""No place for Mostert's distraction in our team—unless it's on defense against those tweets!"""
en_2006	-	-	Meet Troy - the parrot named after Ireland’s hat-trick hero	Meet Troy, the parrot who got more media attention than Ireland's hat-trick hero did at a family gathering.
en_2007	-	-	Instagram to start closing Australian teen accounts ahead of social media ban	"Sure, here's a joke based on that headline:

The Australian teens were getting a bit too active on Instagram, so the platform decided to give them a heads up—literally. They started closing down accounts before the full social media ban, just to make sure everyone had enough time to grow another one from scratch."
en_2008	-	-	How the EU botched its attempt to regulate AI	"Sure! Here's a joke based on that headline:

""The EU tried to create rules for AI but ended up more confused than a cat on a keyboard, especially when it came to deciding if emoji counting should be considered data processing."""
en_2009	-	-	I stayed at one of only two hotels in Malta’s Silent City	"Sure! Here's a joke based on that headline:

The hotel was so quiet, the front desk asked if I wanted to try the silent elevator—it was completely deafening!"
en_2010	-	-	Ireland coach Farrell brings back Bundee Aki for clash with Springboks in Dublin	"Sure! Here's a joke based on that headline:

""Ireland's coach, Farrell, must really love coming back to Dublin for big matches—this time he brought back Bundee Aki, and the fans are hoping he doesn't bring back the rain too!"""
en_2011	-	-	Is it okay if I don’t love my partner all the time?	"Sure, here's a joke based on that headline:

""I recently told my partner that I don't have to love them all the time, and they said, 'Well, good thing I have my credit card!' """
en_2012	-	-	Why footballer Troy Parrott is taking the classic Hero's Journey	Troy Parrott, the young footballer, embarked on his own Hero's Journey, not to find a magical sword, but to find the best pizza in Italy—his next big challenge off the field!
en_2013	-	-	Gen Z are flocking to these unconventional jobs in order to earn big - and it's working	"Sure! Here’s a joke based on that headline:

Why did Gen Z leave the traditional 9-to-5 for jobs like beekeeping and stand-up comedy? Because they found out you can make a buzz-ting income without wearing a suit!"
en_2014	-	-	‘Kim Kardashian had no pretensions that she was a great actress’: Glenn Close hits back at zero-star All’s Fair reviews	Glenn Close might not think much of her acting, but she sure knows how to make a memorable comeback. While Kim Kardashian was busy getting five stars for her reality show skills, Glenn got zero stars for her acting—and decided to take it all back with a bang!
en_2015	-	-	Fiber is something most people could use more of. But experts advise caution with ‘fibermaxxing’	"Sure! Here's a joke based on that headline:

""Most people need to add more fiber to their diet, but some are taking it too far and becoming 'fibermaxxers.' One man tried to outdo his friend by eating an entire bale of hay—and now he's the new champion of the 'Haystack World Cup.'"""
en_2016	-	-	Host Brazil pushes for progress on big issues at COP30 and some see cause for optimism	"At the COP30 summit, Brazil's host pushed hard for progress on climate issues, and one delegate whispered, ""Finally, someone who understands the Amazon isn't just for Instagram photos."""
en_2017	-	-	Oneohtrix Point Never: Tranquilizer review – uncanny ambient music for an agitated era	Oneohtrix Point Never decided to take a break from the chaos and wrote an album so soothing, even a squirrel calmed down long enough to read the liner notes.
en_2018	-	-	Advice from Whitty and Vallance on delaying lockdown 'had no grounding in science'	Dr. Whitty and Dr. Vallance thought they had the pandemic under control, but it turns out their plan was more like trying to herd cats — without any scientific backing to guide them!
en_2019	-	-	Gaelic games in action at Asian Youth Championing in Hanoi, Vietnam	"At the Asian Youth Championing event in Hanoi, a player from the Gaelic football team accidentally kicked a Vietnamese fan, but instead of apologizing, he said, ""Tá fós tuilleadh cead!"" (Irish for ""There's still time!""), thinking it was a Gaelic phrase meaning the same thing."
en_2020	-	-	I made mistakes on TV, he made his on a field'	In a recent interview, a sports star admitted he wasn't great at math but excelled at running. Meanwhile, his opponent forgot to check the scoreboard and ended up playing the wrong game entirely!
en_2021	-	-	‘Mind-blowing’ population of feral goldfish in Ottawa pond to be euthanized	"In an attempt to solve the goldfish dilemma, the city decided to host a fishing tournament, but the prize wasn't a trophy—it was a chance to avoid being part of the ""mind-blowing"" statistic."
en_2022	-	-	I do get jealous and question whether I’m cut out for non-monogamy	"Sure, here's a joke based on that headline:

""I do get jealous and question whether I'm cut out for non-monogamy—maybe I should just stick to puzzles. At least with a jigsaw puzzle, all the pieces fit perfectly!"""
