id	word1	word2	headline	text
zh_2001	-	-	黃仁勳砸1565億入股後怎麼合作？英特爾高管全說了	黄仁勋砸下1565亿入股后，英特尔的高管们纷纷表示：“我们得赶紧学习怎么和黄仁勋喝茶聊天了，毕竟现在他是我们的大老板，而且据说他喝茶的时候喜欢加点芯片进去。”
zh_2002	-	-	59天、两个参数，江门中微子实验首个物理成果意味着什么？	江门中微子实验的科学家们终于公布了他们的成果，现场一片欢腾。主持人问一位研究员：“这个成果意味着什么？”研究员想了想，回答说：“这意味着我们找到了失踪的中微子，而它们一直在江门附近的餐馆里偷偷吃 }}>{}</说。”台下顿时爆笑起来。
zh_2003	-	-	惊心动魄！辅警徒手攀墙托举悬空男童	有一天，一位辅警在下班的路上看到一幢大厦外墙有个男童在晃悠，情况危急。辅警二话不说，直接开始了他“惊心动魄”的日常——徒手攀墙去托举悬空男童。结果，男童淡定地对他说：“叔叔，你这是要给我表演杂技吗？”
zh_2004	-	-	从康复设备到“AI教练”，广东竞技体育背后的“隐形赛道”｜荇运现场	在广东的运动场上，除了运动员们奋力拼搏的身影，还有一款新型康复设备备受瞩目。据说这款设备不仅能帮助运动员恢复体能，还能变身“AI教练”，为运动员提供个性化训练方案。不过，有一次它误以为自己是天气预报员，结果给运动员们推荐了一套“暴雨训练法”，大家只能干瞪眼，心想：“这‘AI教练’也是醉了！”
zh_2005	-	-	李多慧「蘋果帶皮塗花生醬」當早餐！減重關鍵曝　營養師讚高招	李多慧每天早上吃苹果带皮涂花生酱，营养师说这是个高招，但她妈妈却担心她会不会因此成为“花生酱皮人”。
zh_2006	-	-	山西吉县：黄河壶口瀑布初冬时节景迷人	黄河壶口瀑布的游客在初冬时分纷纷表示，这里的景色比山西的冬天还“热”！
zh_2007	-	-	院版財劃法修正草案說明記者會 #中央社直播Live	在院版財劃法修正草案說明記者會上，主持人问专家：“这个草案这么复杂，是不是只有中央社才能搞懂？”专家淡定回答：“当然了，其他媒体可能还得开着直播慢慢看呢！”
zh_2008	-	-	存量房“爆改”学生宿舍：高校掀起“置业潮”	听说大学里最近流行起了一股“置业潮”，学生们不仅在图书馆占座位，连宿舍也开始搞起了“爆改”工程。原来，他们把老旧的床铺换成了高级床垫，还装上了智能窗帘。不过，最让人惊讶的是，他们竟然把自习室改成了迷你客厅，结果一不小心，连教授都成了他们的沙发客！
zh_2009	-	-	路透：中國民用貨船與渡輪組「影子海軍」演練奪台	听说有一艘民用货船和一艘渡轮组成了“影子海軍”，每天晚上偷偷练习夺台。结果第二天早上醒来，发现自己的船员都变成了“岸电工”，原来是在练习节约用电呢！
zh_2010	-	-	台南亞太球場改善進度快　獅隊開幕戰有望如期開打	台南亚太球场的改善进度飞快，连旁边的狮子都忍不住想要加入施工队伍，不过它还是决定先等等，确保开幕战时能如期看到“狮”动全场。
zh_2011	-	-	證券 22:28 美國9月非農就業新增11.9萬人　遠超預期	美国9月非农就业新增11.9万人，远超预期——看来经济学家又失业了一部分。
zh_2012	-	-	太子集團第二波拘提8人　尼爾負責人林揚茂3人羈押禁見	太子集团这次真是下了血本，连负责人的家属都请来“禁见”了。尼尔负责人的林扬茂先生，估计现在连给老婆打个电话都不行，只能通过太子集团的公关部门传达感情了。
zh_2013	-	-	今年2月“林允与沈腾恋情”话题登上热搜，双方工作室声明辟谣。	林允和沈腾虽然没有正式交往，但每逢过年，沈腾总会包个大红包寄给林允，俩人真是“遥遥无期”的恋爱典范啊！
zh_2014	-	-	東協財經／ 布局新南向市場　國泰世華新加坡分行首推企業債券	国泰世華银行的新加坡分行最近推出了一款企业债券，据说购买后不仅能赚取利息，还能获得一张免费的东南亚地图。不过，这张地图上只标注了“新南向市场”的位置，至于怎么去，还得自己研究研究。
zh_2015	-	-	文学遇见生活　未来拥抱AI　观2025年作家节盛况	在2025年的作家节上，一位作家遇到了未来的自己。文学遇见生活，未来拥抱AI，这位作家惊讶地发现，未来的自己正坐在一台巨大的AI机器旁，正在用键盘敲打着一行行代码。他好奇地问：“你在写什么？”未来的自己抬头笑了笑说：“我在编写你未来的传记，只不过我忘了输入‘遇到AI’这一步。”
zh_2016	-	-	秋日餐桌的“蟹”逅 东方鲜美碰撞西方浓醇	在秋日的一个偶然时刻，一只螃蟹不小心掉进了意大利面汤里，它一边挥舞着钳子，一边感叹：“这顿饭的‘蟹’逅，真是既东方又西方，既有鲜美又有浓醇啊！”周围的食客都被它的幽默逗笑了。
zh_2017	-	-	祝鸣：西芒杜铁矿成为中非合作新样板	祝鸣最近很忙，他不仅在忙着开采西芒杜铁矿，还在忙着和非洲兄弟们商量合作细节。据说，这次合作连当地的猴子都被吸引来了，它们听说能分到一些矿石当玩具，现在每天都在现场等着开工呢。
zh_2018	-	-	車Cam直擊｜大角咀校巴入錯路口 急煞連切兩線險釀禍 網民公憤	听说大角咀校巴入错路口后，网友们纷纷表示：“看来这辆校巴的导航得升级了，不然下次可能直接导航去火星了！”不过，网友们更多的是担心孩子们的安全，而不是嘲笑校巴司机的操作失误。
zh_2019	-	-	视频丨中国游客赴日游锐减 日本旅游业受冲击	自从中国游客赴日游锐减，日本的导游开始自己学起了中文，准备直接和中国游客交流。结果一试才发现，原来学中文这么难，连日本旅游业都跟着受了冲击。
zh_2020	-	-	連晨翔陪產迎接愛女感觸深　方志友30萬大禮慶賀【專訪】	连晨翔为了迎接新生命的到来，特地请了30天产假，结果却被公司误以为是30万奖金的通知，兴奋不已的他拿着纸条去财务部领奖，没想到财务人员告诉他：“这是连先生的陪产假通知单，不是奖金哦。”连晨翔顿时哭笑不得，方志友得知后，特地送上了30万的大礼庆贺，连晨翔激动地说：“看来我不仅要感谢老婆生下宝宝，还得感谢公司的‘奖金’通知！”
zh_2021	-	-	GD登大巨蛋霸氣喊「我龍哥」 合體BIGBANG喊：我不孤單	GD在大巨蛋霸气喊：“我龙哥！”旁边的成员疑惑地问：“你这不是在唱《我不孤单》吗？”GD得意地说：“合体后的BIGBANG，我不再是孤军奋战了，现在是‘我不孤单’！”
zh_2022	-	-	大看台｜通讯：42.195公里，见深港情长	听说深港之间的距离只有42.195公里，结果我从深圳跑到了香港，结果发现只是多了个“港”字，看来我要开始练习“港式普通话”了，不然深港情真的要变“生疏情”了。
zh_2023	-	-	“赤水河谷 中国酱香”区域品牌推广活动即将启幕，共筑中国白酒经典产业新高地	听说赤水河谷要举办一场盛大的区域品牌推广活动，大家纷纷猜测会不会请来“中国酱香”作为代言人。结果主办方表示：“不是请他代言，而是让他亲自上阵！”大家都明白了，原来是要让真正的酱香美酒出镜，共同打造中国白酒的经典产业新高地。
zh_2024	-	-	流感疫苗公费价格不如蜜雪冰城，便宜得让人心慌	听说流感疫苗的价格比蜜雪冰城还便宜，我心慌得赶紧去买杯冰淇淋，结果发现自己中了“清凉一夏”套餐！
zh_2025	-	-	「4生肖」年底前諸事不順！職場、財務兩頭燒　專家曝解方	听说今年年底前，属鼠、属牛、属虎、属猪的朋友们都会遇到些麻烦事，职场上焦头烂额，财务上也是两头受气。不过别担心，专家已经给出了解决方案——那就是年底之前，尽量别属这四个生肖！
zh_2026	-	-	北市擬放寬民生社區都更規定 都委會要求修改再送審	北市打算放宽民生社区更新规定，结果都委会的要求是：先去更新一下自己的提案，然后再送来审议。
zh_2027	-	-	钟丽缇谈女儿未来规划：考拉Jaden暂不出道，现阶段专注学业	钟丽缇的女儿未来规划是考拉Jaden，而不是小考拉，所以Jaden决定现阶段还是专心学习，考“好”这门必修课。
zh_2028	-	-	分析：本地数码银行难与传统银行竞争	听说本地数码银行为了吸引更多客户，把实体分行开到了手机里，结果客户们都跑去实体银行存钱了，因为他们觉得手机银行太容易被盗号了。
